Title,Author,Year,Source
Projet pour l’éducation de Monsieur de Sainte-Marie,Jean-Jacques Rousseau,1782,Wikidata
Les ressources de la vertu,Charlotte-Marie-Anne Charbonnier de La Guesnerie,1782,Wikidata
Adèle et Théodore,Félicité de Genlis,1782,Wikidata
Galatée,Jean-Pierre Claris de Florian,1783,Wikidata
Arsace et Isménie,Montesquieu,1783,Wikidata
Lettres de deux amans habitans de Lyon,Nicolas-Germain Léonard,1783,Wikidata
Alexandrine,Anne-Hyacinthe Geille de Saint-Léger,1783,Wikidata
Ancienne chronique de Gérard d’Euphrate,André-Guillaume Contant d'Orville,1783,Wikidata
Lettres de mistriss Henley,Isabelle de Charrière,1784,Wikidata
Lettres neuchâteloises,Isabelle de Charrière,1784,Wikidata
L’étourdi,André-Robert Andréa de Nerciat,1784,Wikidata
La paysanne pervertie ou les dangers de la ville,Nicolas Edme Restif de La Bretonne,1784,Wikidata
Bergeries et opuscules,Anne-Jeanne-Félicité Mérard de Saint-Just,1784,Wikidata
Lettres taïtiennes,Marie-Joséphine de Lescun de Monbart,1784,Wikidata
Anna Rose-Tree,Charlotte de Bournon,1785,Wikidata
Lettres écrites de Lausanne,Isabelle de Charrière,1785,Wikidata
Numa Pompilius,Jean-Pierre Claris de Florian,1786,Wikidata
Vathek,William Thomas Beckford,1786,Wikidata
Caroline,Isabelle de Montolieu,1786,Wikidata
Zélie dans le désert,Marguerite Daubenton,1786,Wikidata
Caliste,Isabelle de Charrière,1787,Wikidata
Icosameron ou Histoire d'Édouard et d'Élisabeth,Giacomo Casanova,1787,Wikidata
Paul et Virginie,Jacques-Henri Bernardin de Saint-Pierre,1787,Wikidata
Le danger d’être trop sage,Pigault-Lebrun,1787,Wikidata
Ainsi finissent les grandes passions,Joseph Marie Loaisel de Tréogate,1787,Wikidata
Observations et conjectures politiques,Isabelle de Charrière,1788,Wikidata
Estelle,Jean-Pierre Claris de Florian,1788,Wikidata
Le Doctorat impromptu,André-Robert Andréa de Nerciat,1788,Wikidata
L'Honneur perdu et recouvré,Jacques Cazotte,1788,Wikidata
Supplément à l’histoire de Zélie,Marguerite Daubenton,1788,Wikidata
La marquise de Ben***,Jean-Charles-Vincent Bette d'Etienville,1788,Wikidata
Miss Anysie,Madame de Fumelh,1788,Wikidata
Justine ou les Malheurs de la vertu,Marquis de Sade,1791,Wikidata
Gonzalve de Cordoue,Jean-Pierre Claris de Florian,1791,Wikidata
La Chaumière indienne,Jacques-Henri Bernardin de Saint-Pierre,1791,Wikidata
Les déjeunés du village,Jean-François Marmontel,1791,Wikidata
Monrose ou le libertin par fatalité,André-Robert Andréa de Nerciat,1792,Wikidata
Mon noviciat,André-Robert Andréa de Nerciat,1792,Wikidata
Aline et Valcour,Marquis de Sade,1793,Wikidata
Lettres trouvées,Isabelle de Charrière,1793,Wikidata
Les Aphrodites,André-Robert Andréa de Nerciat,1793,Wikidata
Adèle de Sénange,Adélaïde de Souza,1794,Wikidata
La Philosophie dans le boudoir,Marquis de Sade,1795,Wikidata
Les chevaliers du cygne,Félicité de Genlis,1795,Wikidata
Jacques le Fataliste et son maître,Denis Diderot,1796,Wikidata
La Religieuse,Denis Diderot,1796,Wikidata
Histoire de Madame de la Pommeraye,Denis Diderot,1796,Wikidata
Les trois femmes,Isabelle de Charrière,1796,Wikidata
L’enfant du carnaval,Pigault-Lebrun,1796,Wikidata
"Histoire de Juliette, ou les Prospérités du vice",Marquis de Sade,1797,Wikidata
La Nouvelle Justine,Marquis de Sade,1797,Wikidata
Adolphe,Madame de Grandmaison Van Esbeck,1797,Wikidata
L'Anti-Justine,Nicolas Edme Restif de La Bretonne,1798,Wikidata
Pauliska ou la Perversité moderne,Jacques-Antoine de Révéroni Saint-Cyr,1798,Wikidata
Ceci n'est pas un conte,Denis Diderot,1798,Wikidata
L'oiseau blanc,Denis Diderot,1798,Wikidata
Sainte Anne,Isabelle de Charrière,1798,Wikidata
Honorine d'Userche,Isabelle de Charrière,1798,Wikidata
Les Ruines d'Yedburg,Isabelle de Charrière,1798,Wikidata
Claire d'Albe,Sophie Cottin,1798,Wikidata
La dot de Suzette,Joseph Fiévée,1798,Wikidata
Les barons de Felsheim,Pigault-Lebrun,1798,Wikidata
Les petits émigrés,Félicité de Genlis,1798,Wikidata
Les vœux téméraires,Félicité de Genlis,1798,Wikidata
La Nouvelle Justine,Marquis de Sade,1799,Wikidata
Emilie et Alphonse,Adélaïde de Souza,1799,Wikidata
Frédéric,Joseph Fiévée,1799,Wikidata
Angélique et Jeanneton,Pigault-Lebrun,1799,Wikidata
Le château noir,Anne-Jeanne-Félicité Mérard de Saint-Just,1799,Wikidata
lllyrine,Suzanne Giroust,1799,Wikidata
La comtesse d’Alibre,Joseph Marie Loaisel de Tréogate,1799,Wikidata
Sophie de Beauregard,Comtesse de Lagrave,1799,Wikidata
Zabeth,Comtesse de Lagrave,1799,Wikidata
Les crimes de l’amour,Marquis de Sade,1800,Wikidata
Malvina,Sophie Cottin,1800,Wikidata
